面积,房型,户型,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
42,豪华单间Studio Deluxe,N-29-A,B208室,B302室,B308室,B502室,B508室,B602室,B608室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,豪华单间Studio Deluxe,N-30-A,B609室,B708室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,豪华单间Studio Deluxe,N-31,B807室,B907室,B1007室,B1107室,B1207室,B1507室,B1607室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,豪华单间Studio Deluxe,N-32,B213室,B313室,B513室,B613室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,豪华单间Studio Deluxe,N-33-A,B706室,B709室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,行政单间Studio Executive,N-34,B808室,B908室,B1008室,B1108室,B1208室,B1508室,B1608室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,行政单间Studio Executive,S-35-A,A619室,A801室,A803室,A805室,A806室,A807室,A808室,A809室,A816室,A817室,A818室,A819室,A820室,A821室,A901室,A903室,A905室,A906室,A907室,A908室,A909室,A916室,A917室,A918室,A919室,A920室,A921室,A1001室,A1003室,A1005室,A1006室,A1007室,A1008室,A1009室,A1016室,A1017室,A1018室,A1019室,A1020室,A1021室,A1101室,A1103室,A1105室,A1106室,A1107室,A1108室,A1109室,A1116室,A1117室,A1118室,A1119室,A1120室,A1121室,A1201室,A1203室,A1205室,A1206室,A1207室,A1208室,A1209室,A1216室,A1217室,A1218室,A1219室,A1220室,A1221室,A1501室,A1503室,A1505室,A1506室,A1507室,A1508室,A1509室,A1516室,A1517室,A1518室,A1519室,A1520室,A1521室,A1601室,A1603室,A1605室,A1606室,A1607室,A1608室,A1609室,A1616室,A1617室,A1618室,A1619室,A1620室,A1621室,A1701室,A1703室,A1705室,A1706室,A1707室,A1708室,A1709室,A1716室,A1717室,A1718室,A1719室,A1720室,A1721室,A1801室,A1803室,A1805室,A1806室,A1807室,A1808室,A1809室,A1816室,A1817室,A1818室,A1819室,A1820室,A1821室,A1901室,A1903室,A1905室,A1906室,A1907室,A1908室,A1909室,A1916室,A1917室,A1918室,A1919室,A1920室,A1921室,A2001室,A2003室,A2005室,A2006室,A2007室,A2008室,A2009室,A2016室,A2017室,A2018室,A2019室,A2020室,A2021室,A2101室,A2103室,A2105室,A2106室,A2107室,A2108室,A2109室,A2116室,A2117室,A2118室,A2119室,A2120室,A2121室,A2201室,A2203室,A2205室,A2206室,A2207室,A2208室,A2209室,A2215室,A2216室,A2217室,A2218室,A2301室,A2303室,A2305室,A2306室,A2307室,A2308室,A2309室,A2313室,A2315室,A2316室,A2317室,A2318室,A2501室,A2503室,A2505室,A2506室,A2507室,A2508室,A2509室,A2513室,A2515室,A2516室,A2517室,A2518室,B707室,B813室,B913室,B1013室,B1113室,B1213室,B1513室,B1613室,B1710室,B1810室
54,行政单间Studio Executive ,S-37-A,A810室,A812室,A910室,A912室,A1010室,A1012室,A1110室,A1112室,A1210室,A1212室,A1510室,A1512室,A1610室,A1612室,A1710室,A1712室,A1810室,A1812室,A1910室,A1912室,A2010室,A2012室,A2110室,A2112室,A2210室,A2312室,A2512室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,行政单间Studio Executive ,S-39-A,A201室,A202室,A203室,A206室,A207室,A208室,A209室,A210室,A213室,A215室,A216室,A217室,A218室,A220室,A301室,A302室,A303室,A306室,A307室,A308室,A309室,A310室,A311室,A312室,A313室,A315室,A316室,A317室,A320室,A321室,A322室,A323室,A325室,A326室,A327室,A328室,A329室,A330室,A331室,A332室,A333室,A336室,A337室,A501室,A502室,A503室,A506室,A507室,A508室,A509室,A510室,A511室,A512室,A513室,A515室,A516室,A517室,A520室,A521室,A522室,A523室,A525室,A526室,A527室,A528室,A529室,A530室,A531室,A532室,A533室,A536室,A537室,A601室,A602室,A603室,A606室,A607室,A608室,A609室,A610室,A611室,A612室,A613室,A615室,A616室,A617室,A620室,A621室,A622室,A623室,A625室,A626室,A627室,A628室,A629室,A630室,A631室,A632室,A633室,A636室,A637室,A813室,A913室,A1013室,A1113室,A1213室,A1513室,A1613室,A1713室,A1813室,A1913室,A2013室,A2113室,A2213室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,一房豪华式公寓One Bedroom Deluxe,N-40-A,B805室,B806室,B905室,B906室,B1005室,B1006室,B1105室,B1106室,B1205室,B1206室,B1505室,B1506室,B1605室,B1606室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,一房豪华式公寓One Bedroom Deluxe,N-40-B,B1705室,B1805室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,行政单间Studio Executive ,S-43,A211室,A212室,A318室,A319室,A518室,A519室,A618室,B306室,B506室,B606室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,一房豪华式公寓One Bedroom Deluxe,N-44,B705室,B711室,B712室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,一房豪华式公寓One Bedroom Deluxe,N-45,B307室,B507室,B607室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
