房号,楼栋,楼层,房型,户型代码,面积(平方米),朝向,12个月租金,6-11个月租金,2-5个月租金,1个月租金
A1001,A,10F,行政单间,S-35-A,51,南,12937,13972,14490,16171
A1002,A,10F,一房豪华式公寓,S-60-A,88,东 南,22200,23976,24864,27750
A1003,A,10F,行政单间,S-35-A,51,东,12271,13253,13743,15339
A1005,A,10F,行政单间,S-35-A,51,东,12271,13253,13743,15339
A1006,A,10F,行政单间,S-35-A,51,东,12271,13253,13743,15339
A1007,A,10F,行政单间,S-35-A,51,东,12271,13253,13743,15339
A1008,A,10F,行政单间,S-35-A,51,东,12271,13253,13743,15339
A1009,A,10F,行政单间,S-35-A,51,东,12271,13253,13743,15339
A1010,A,10F,行政单间,S-37-A,54,东,14313,15458,16030,17891
A1011,A,10F,一房豪华式公寓,S-48,70,东 北,18200,19656,20384,22750
A1012,A,10F,行政单间,S-37-A,54,北,15134,16345,16950,18918
A1013,A,10F,行政单间,S-39-A,57,北,15955,17232,17870,19944
A1015,A,10F,豪华行政单间,S-46,67,西 北,18693,20189,20936,23367
A1016,A,10F,行政单间,S-35-A,51,西,12271,13253,13743,15339
A1017,A,10F,行政单间,S-35-A,51,西,12271,13253,13743,15339
A1018,A,10F,行政单间,S-35-A,51,西,12271,13253,13743,15339
A1019,A,10F,行政单间,S-35-A,51,西,14040,15163,15725,17550
A1020,A,10F,行政单间,S-35-A,51,西,14600,15768,16352,18250
A1021,A,10F,行政单间,S-35-A,51,西,12271,13253,13743,15339
A1022,A,10F,两房行政公寓,S-74,108,西 南,29918,32312,33508,37398
A1023,A,10F,一房豪华式公寓,S-50,73,南,20100,21708,22512,25125
A1101,A,11F,行政单间,S-35-A,51,南,12987,14026,14546,16234
A1102,A,11F,一房豪华式公寓,S-60-A,88,东 南,22300,24084,24976,27875
A1103,A,11F,行政单间,S-35-A,51,东,12321,13307,13799,15401
A1105,A,11F,行政单间,S-35-A,51,东,12321,13307,13799,15401
A1106,A,11F,行政单间,S-35-A,51,东,12321,13307,13799,15401
A1107,A,11F,行政单间,S-35-A,51,东,12321,13307,13799,15401
A1108,A,11F,行政单间,S-35-A,51,东,12321,13307,13799,15401
A1109,A,11F,行政单间,S-35-A,51,东,12321,13307,13799,15401
A1110,A,11F,行政单间,S-37-A,54,东,14363,15512,16086,17953
A1111,A,11F,一房豪华式公寓,S-48,70,东 北,18300,19764,20496,22875
A1112,A,11F,行政单间,S-37-A,54,北,15184,16399,17006,18980
A1113,A,11F,行政单间,S-39-A,57,北,16005,17286,17926,20007
A1115,A,11F,豪华行政单间,S-46,67,西 北,18743,20243,20992,23429
A1116,A,11F,行政单间,S-35-A,51,西,12321,13307,13799,15401
A1117,A,11F,行政单间,S-35-A,51,西,12321,13307,13799,15401
A1118,A,11F,行政单间,S-35-A,51,西,12321,13307,13799,15401
A1119,A,11F,行政单间,S-35-A,51,西,14060,15185,15747,17575
A1120,A,11F,行政单间,S-35-A,51,西,14650,15822,16408,18312
A1121,A,11F,行政单间,S-35-A,51,西,12321,13307,13799,15401
A1122,A,11F,两房行政公寓,S-74,108,西 南,29968,32366,33564,37460
A1123,A,11F,一房豪华式公寓,S-50,73,南,20150,21762,22568,25188
A1201,A,12F,行政单间,S-35-A,51,南,13037,14080,14602,16296
A1202,A,12F,一房豪华式公寓,S-60-A,88,东 南,22400,24192,25088,28000
A1203,A,12F,行政单间,S-35-A,51,东,12371,13361,13855,15464
A1205,A,12F,行政单间,S-35-A,51,东,12371,13361,13855,15464
A1206,A,12F,行政单间,S-35-A,51,东,12371,13361,13855,15464
A1207,A,12F,行政单间,S-35-A,51,东,12371,13361,13855,15464
A1208,A,12F,行政单间,S-35-A,51,东,12371,13361,13855,15464
A1209,A,12F,行政单间,S-35-A,51,东,12371,13361,13855,15464
A1210,A,12F,行政单间,S-37-A,54,东,14413,15566,16142,18016
A1211,A,12F,一房豪华式公寓,S-48,70,东 北,18400,19872,20608,23000
A1212,A,12F,行政单间,S-37-A,54,北,15234,16453,17062,19043
A1213,A,12F,行政单间,S-39-A,57,北,16055,17340,17982,20069
A1215,A,12F,豪华行政单间,S-46,67,西 北,18793,20297,21048,23492
A1216,A,12F,行政单间,S-35-A,51,西,12371,13361,13855,15464
A1217,A,12F,行政单间,S-35-A,51,西,12371,13361,13855,15464
A1218,A,12F,行政单间,S-35-A,51,西,12371,13361,13855,15464
A1219,A,12F,行政单间,S-35-A,51,西,14080,15206,15770,17600
A1220,A,12F,行政单间,S-35-A,51,西,14700,15876,16464,18375
A1221,A,12F,行政单间,S-35-A,51,西,12371,13361,13855,15464
A1222,A,12F,两房行政公寓,S-74,108,西 南,30018,32420,33620,37523
A1223,A,12F,一房豪华式公寓,S-50,73,南,20200,21816,22624,25250
A1501,A,15F,行政单间,S-35-A,51,南,13087,14134,14658,16359
A1502,A,15F,一房豪华式公寓,S-60-A,88,东 南,22500,24300,25200,28125
A1503,A,15F,行政单间,S-35-A,51,东,12421,13415,13911,15526
A1505,A,15F,行政单间,S-35-A,51,东,12421,13415,13911,15526
A1506,A,15F,行政单间,S-35-A,51,东,12421,13415,13911,15526
A1507,A,15F,行政单间,S-35-A,51,东,12421,13415,13911,15526
A1508,A,15F,行政单间,S-35-A,51,东,12421,13415,13911,15526
A1509,A,15F,行政单间,S-35-A,51,东,12421,13415,13911,15526
A1510,A,15F,行政单间,S-37-A,54,东,14463,15620,16198,18078
A1511,A,15F,一房豪华式公寓,S-48,70,东 北,18500,19980,20720,23125
A1512,A,15F,行政单间,S-37-A,54,北,15284,16507,17118,19105
A1513,A,15F,行政单间,S-39-A,57,北,16105,17394,18038,20132
A1515,A,15F,豪华行政单间,S-46,67,西 北,18843,20351,21104,23554
A1516,A,15F,行政单间,S-35-A,51,西,12421,13415,13911,15526
A1517,A,15F,行政单间,S-35-A,51,西,12421,13415,13911,15526
A1518,A,15F,行政单间,S-35-A,51,西,12421,13415,13911,15526
A1519,A,15F,行政单间,S-35-A,51,西,14100,15228,15792,17625
