Norminal Floor       楼层	南楼为A栋（房间建筑面积）																																	
	01室	02室	03室	05室	06室	07室	08室	09室	10室	11室	12室	13室	15室	16室	17室	18室	19室	20室	21室	22室	23室	25室	26室	27室	28室	29室	30室	31室	32室	33室	35室	36室	37室	
A2	 57 	 57 	 57 	 69 	 57 	 57 	 57 	 57 	 57 	 63 	 63 	 57 	 57 	 57 	 57 	 57 	 99 	 57 																
A3	 57 	 57 	 57 	 69 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 63 	 63 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 80 	 57 	 57 	
A5	 57 	 57 	 57 	 69 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 63 	 63 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 80 	 57 	 57 	
A6	 57 	 57 	 57 	 69 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 63 	 51 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 57 	 80 	 57 	 57 	
A8	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A9	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A10	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A11	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A12	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A15	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A16	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A17	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A18	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A19	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A20	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A21	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 70 	 54 	 57 	 67 	 51 	 51 	 51 	 51 	 51 	 51 	 108 	 73 													
A22	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 	 54 	 72 	 79 	 57 	 51 	 51 	 51 	 51 	 108 	 73 																
A23	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 			 54 	 51 	 51 	 51 	 51 	 51 	 108 	 73 																
A25	 51 	 88 	 51 	 51 	 51 	 51 	 51 	 51 			 54 	 51 	 51 	 51 	 51 	 51 	 108 	 73 																
Total 418 units																																		
	行政单间Studio Executive 																																	
	豪华行政单间Studio Premier																																	
	一房豪华式公寓One Bedroom Deluxe																																	
	一房行政豪华式公寓1Bedroom Premier																																	
	两房行政公寓Two Bedroom Deluxe																																	
																																		
Norminal Floor	北楼为B栋（1月租金表）North Tower (1Month Rate)																																	
	01室	2室	3室	5室	6室	7室	8室	9室	10室	11室	12室	13室	15室																					
B2							 42 	 70 	 96 	 86 	 86 	 47 	 83 																					
B3	 88 	 42 	 86 	 86 	 63 	 66 	 42 	 70 	 96 	 86 	 86 	 47 	 92 																					
B5	 88 	 42 	 86 	 86 	 63 	 66 	 42 	 70 	 96 	 86 	 86 	 47 	 92 																					
B6	 88 	 42 	 86 	 86 	 63 	 66 	 42 	 44 	 73 	 86 	 86 	 47 	 92 																					
B7			 67 	 64 	 48 	 51 	 44 	 48 	 73 	 64 	 64 																							
B8	 80 	 86 	 67 	 58 	 58 	 45 	 50 	 73 	 67 	 67 	 88 	 51 																						
B9	 80 	 86 	 67 	 58 	 58 	 45 	 50 	 73 	 67 	 67 	 88 	 51 																						
B10	 80 	 86 	 67 	 58 	 58 	 45 	 50 	 73 	 67 	 67 	 88 	 51 																						
B11	 80 	 86 	 67 	 58 	 58 	 45 	 50 	 73 	 67 	 67 	 88 	 51 																						
