驻在星耀(LIVN SPARK)房间信息表		
房号	朝向	面积(平方米)
A201	北	57
A202	北	57
A203	北	57
A205	东	69
A206	东	57
A207	东	57
A208	东	57
A209	东	57
A210	东	57
A211	东	63
A212	西	63
A213	西	57
A215	西	57
A216	西	57
A217	西	57
A218	西	99
A219	西	57
A220	北	88
A201	北	57
A301	北	57
A302	北	57
A303	北	57
A305	东	69
A306	东	57
A307	东	57
A308	东	57
A309	东	57
A310	东	57
A311	东	57
A312	东	57
A313	东	57
A315	东	57
A316	东	57
A317	东	57
A318	东	63
A319	西	63
A320	西	57
A321	西	57
A322	西	57
A323	西	57
A325	西	57
A326	西	57
A327	西	57
A328	西	57
A329	西	57
A330	西	80
A331	西	57
A332	西	57
A333	西	57
A335	北	80
A336	北	57
A337	北	57
A501	北	57
A502	北	57
A503	北	57
A505	东	69
A506	东	57
A507	东	57
A508	东	57
A509	东	57
A510	东	57
A511	东	57
A512	东	57
A513	东	57
A515	东	57
A516	东	57
A517	东	57
A518	东	63
A519	西	63
A520	西	57
A521	西	57
A522	西	57
A523	西	57
A525	西	57
A526	西	57
A527	西	57
A528	西	57
A529	西	57
A530	西	57
A531	西	57
A532	西	57
A533	西	57
A535	北	80
A536	北	57
A537	北	57
A501	北	57
A601	北	57
A602	北	57
A603	北	57
A605	东	69
A606	东	57
A607	东	57
A608	东	57
A609	东	57
A610	东	57
A611	东	57
A612	东	57
A613	东	57
A615	东	63
A616	东	51
A617	东	57
A618	东	63
A618	东	51
A620	西	57
A621	西	57
A622	西	57
A623	西	57
A625	西	57
A626	西	57
A627	西	57
A628	西	57
A629	西	57
A630	西	57
A631	西	57
A632	西	57
A633	西	57
A635	西	80
A636	北	57
A637	北	57
A801	北	51
A802	东	88
A803	东	51
A805	东	51
A806	东	51
A807	东	51
A808	东	51
A809	东	51
A810	东	54
A811	南	70
A812	南	54
A813	南	57
A815	南	67
A816	西	51
A817	西	51
A818	西	51
A819	西	51
A820	西	51
A821	西	51
A822	北	108
A823	北	73
A901	北	51
A902	东	51
A903	东	51
A905	东	51
A906	东	51
A907	东	51
A908	东	51
A909	东	51
A910	东	54
A911	南	70
A912	南	54
A913	南	57
A915	南	67
A916	西	51
A917	西	51
A918	西	51
A919	西	51
A920	西	51
A921	西	51
A922	北	108
A923	北	73
A1001	北	51
A1002	东	88
A1003	东	51
A1005	东	51
A1006	东	51
A1007	东	51
A1008	东	51
A1009	东	51
A1010	东	54
A1011	南	70
A1012	南	54
A1013	南	57
A1015	南	67
A1016	西	51
A1017	西	51
A1018	西	51
A1019	西	51
A1020	西	51
A1021	西	51
A1022	北	108
A1023	北	73
A1101	北	51
A1102	东	88
A1103	东	51
A1105	东	51
A1106	东	51
A1107	东	51
A1108	东	51
A1109	东	51
A1110	东	54
A1111	南	70
A1112	南	54
A1113	南	57
A1115	南	67
A1116	西	51
A1117	西	51
A1118	西	51
A1119	西	51
A1120	西	51
A1121	西	51
A1122	北	108
A1123	北	73
A1201	北	51
A1202	东	88
A1203	东	51
A1205	东	51
A1206	东	51
A1207	东	51
A1208	东	51
A1209	东	51
A1210	东	54
A1211	南	70
A1212	南	54
A1213	南	57
A1215	南	67
A1216	西	51
A1217	西	51
A1218	西	51
A1219	西	51
A1220	西	51
A1221	西	51
A1222	北	108
A1223	北	73
A1501	北	51
A1502	东	88
A1503	东	51
A1505	东	51
A1506	东	51
A1507	东	51
A1508	东	51
A1509	东	51
A1510	东	54
A1511	南	70
A1512	南	54
A1513	南	57
A1515	南	67
A1516	西	51
A1517	西	51
A1518	西	51
A1519	西	51
A1520	西	51
A1521	西	51
A1522	北	108
A1523	北	73
A1601	北	51
A1602	东	88
A1603	东	51
A1605	东	51
A1606	东	51
A1607	东	51
A1608	东	51
A1609	东	51
A1610	东	54
A1611	南	70
A1612	南	54
A1613	南	57
A1615	南	67
A1616	西	51
A1617	西	51
A1618	西	51
A1619	西	51
A1620	西	51
A1621	西	51
A1622	北	108
A1623	北	73
A1701	北	51
A1702	东	88
A1703	东	51
A1705	东	51
A1706	东	51
A1707	东	51
A1708	东	51
A1709	东	51
A1710	东	54
A1711	南	70
A1712	南	54
A1713	南	57
A1715	南	67
A1716	西	51
A1717	西	51
A1718	西	51
A1719	西	51
A1720	西	51
A1721	西	51
A1722	北	108
A1723	北	73
A1801	北	51
A1802	东	88
A1803	东	51
A1805	东	51
A1806	东	51
A1807	东	51
A1808	东	51
A1809	东	51
A1810	东	54
A1811	南	70
A1812	南	54
A1813	南	57
A1815	南	67
A1816	西	51
A1817	西	51
A1818	西	51
A1819	西	51
A1820	西	51
A1821	西	51
A1822	北	108
A1823	北	73
A1901	北	51
A1902	东	88
A1903	东	51
A1905	东	51
A1906	东	51
A1907	东	51
A1908	东	51
A1909	东	51
A1910	东	54
A1911	南	70
A1912	南	54
A1913	南	57
A1915	南	67
A1916	西	51
A1917	西	51
A1918	西	51
A1919	西	51
A1920	西	51
A1921	西	51
A1922	北	108
A1923	北	73
A2001	北	51
A2002	东	88
A2003	东	51
A2005	东	51
A2006	东	51
A2007	东	51
A2008	东	51
A2009	东	51
A2010	东	54
A2011	南	70
A2012	南	54
A2013	南	57
A2015	南	67
A2016	西	51
A2017	西	51
A2018	西	51
A2019	西	51
A2020	西	51
A2021	西	51
A2022	北	108
A2023	北	73
A2101	北	51
A2102	东	51
A2103	东	51
A2105	东	51
A2106	东	51
A2107	东	51
A2108	东	51
A2109	东	51
A2110	东	54
A2111	南	72
A2112	南	79
A2113	南	57
A2115	南	51
A2116	西	51
A2117	西	51
A2118	西	51
A2119	西	51
A2120	西	51
A2121	西	51
A2122	北	108
A2123	北	73
A2201	北	51
A2202	北	88
A2203	东	51
A2205	东	51
A2206	东	51
A2207	东	51
A2208	东	51
A2209	东	51
A2210	南	79
A2211	南	57
A2212	南	54
A2213	西	72
A2215	西	79
A2216	西	57
A2217	西	51
A2218	西	51
A2219	北	108
A2220	北	73
A2301	北	51
A2302	东	88
A2303	东	51
A2305	东	51
A2306	东	51
A2307	东	51
A2308	东	51
A2309	西	51
A2312	西	54
A2313	西	51
A2315	西	51
A2316	西	51
A2317	西	51
A2318	西	51
A2319	北	108
A2320	北	73
A2501	北	51
A2502	西	88
A2503	西	51
A2505	西	51
A2506	西	51
A2507	西	51
A2508	西	51
A2509	西	51
A2512	西	54
A2513	西	51
A2515	西	51
A2516	西	51
A2517	西	51
A2518	西	51
A2519	北	108
A2520	北	73
A2501	北	88
B208	南	42
B209	北	70
B210	西	96
B211	西	86
B212	西	86
B213	西	47
B215	北	83
B301	北	88
B302	东	42
B303	东	86
B305	东	86
B306	南	63
B307	南	66
B308	南	42
B309	西	70
B310	西	96
B311	西	86
B312	西	86
B313	西  47
B315	北	92
B501	北	88
B502	东	42
B503	东	86
B505	东	86
B506	西	63
B507	西	66
B508	西	42
B509	西	70
B510	西	96
B511	西	86
B512	西	86
B513	西	47
B515	北	92
B501	北	42
B601	北	88
B602	东	42
B603	东	86
B605	东	86
B606	西	63
B607	西	66
B608	西	42
B609	西	44
B610	西	73
B611	西	86
B612	西	86
B613	西	47
B615	北	92
B703	东	67
B705	东	64
B706	东	48
B707	南	51
B708	南	44
B709	西	48
B710	西	73
B711	西	64
B712	北	64
B801	北	80
B802	东	86
B803	东	67
B805	东	58
B806	南	58
B807	南	45
B808	南	50
B809	西	73
B810	西	67
B811	西	67
B812	北	88
B813	北	51
B901	北	80
B902	东	86
B903	东	67
B905	东	58
B906	南	58
B907	南	45
B908	南	50
B909	西	73
B910	西	67
B911	西	67
B912	北	88
B913	北	51
B1001	北	80
B1002	东	86
B1003	东	67
B1005	东	58
B1006	南	58
B1007	南	45
B1008	南	50
B1009	西	73
B1010	西	67
B1011	西	67
B1012	北	88
B1013	北	51
B1101	北	80
B1102	东	86
B1103	东	67
B1105	东	58
B1106	南	58
B1107	南	45
B1108	南	50
B1109	西	73
B1110	西	67
B1111	西	67
B1112	北  88
B1113	北	51
B1201	北	80
B1202	东	86
B1203	东	67
B1205	东	58
B1206	南	58
B1207	南	45
B1208	南	50
B1209	西	67
B1210	西	67
B1211	西	67
B1212	北	88
B1213	北	51
B1501	北	80
B1502	东	86
B1503	东	67
B1505	东	58
B1506	南	58
B1507	南	45
B1508	南	50
B1509	西	73
B1510	西	67
B1511	西	67
B1512	北	88
B1513	北	51
B1601	北	80
B1602	东	86
B1603	东	67
B1605	东	58
B1606	南	5058
B1607	南	45
B1608	南	50
B1609	西	73
B1610	西	67
B1611	西	67
B1612	北	88
B1613	北	51
B1601	北	86
B1701	东	80
B1702	东	86
B1703	东	67
B1705	西	61
B1706	西	77
B1707	西	67
B1708	西	67
B1709	北	88
B1710	北	51
B1701	北	80
B1801	东	86
B1802	东	67
B1803	东	67
B1805	西	61
B1806	西	77
B1807	西	67
B1808	西	67
B1809	北	88
B1810	北	51
B1801	北	86
B1907	西	67
B1908	西	67
B1909	西	88
B1910	北	134
房间朝向统计分析	

朝向	房间数量
东向西	206
西向东	193
南朝北	135
北朝南	78
房间面积统计分析	

统计项目	数值(平方米)
房间总数	526
平均面积	63.25
最小面积	42
最大面积	134
中位数面积	57
标准差	15.73

面积分布统计	
面积范围	房间数量
50-60平方米	301
60-70平方米	60
70-80平方米	40
80-90平方米	78
90平方米以上	24
数据完整性检查报告	

检查项目	统计结果
总房间数	612
有朝向信息的房间数	612
朝向信息完整率	100.0%
有面积信息的房间数	526
面积信息完整率	85.9%
数据完整性评估	良好
