房间价格信息汇总
==================================================
房间号	12M价格	6-11M价格	2-5M价格	1M价格
------------------------------------------------------------
A1001	12937.070000000002	13972.035600000003	14489.518400000003	16171.337500000001
A1002	22200	23976	24864.000000000004	27750
A1003	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1005	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1006	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1007	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1008	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1009	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1010	14312.78	15457.802400000002	16030.313600000003	17890.975000000002
A1011	18200	19656	20384.000000000004	22750
A1012	15134.12	16344.849600000001	16950.2144	18917.65
A1013	15955.460000000001	17231.896800000002	17870.115200000004	19944.325
A1015	18693.260000000002	20188.720800000003	20936.451200000003	23366.575000000004
A1016	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1017	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1018	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1019	14040	15163.2	15724.800000000001	17550
A1020	14600	15768.000000000002	16352.000000000002	18250
A1021	12270.86333686803	13252.532403817473	13743.366937292194	15338.579171085037
A1022	29918.24	32311.699200000003	33508.4288	37397.8
A1023	20100	21708	22512.000000000004	25125
A1101	12987.070000000002	14026.035600000003	14545.518400000003	16233.837500000001
A1102	22300	24084	24976.000000000004	27875
A1103	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1105	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1106	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1107	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1108	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1109	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1110	14362.78	15511.802400000002	16086.313600000003	17953.475000000002
A1111	18300	19764	20496.000000000004	22875
A1112	15184.12	16398.8496	17006.2144	18980.15
A1113	16005.460000000001	17285.896800000002	17926.115200000004	20006.825
A1115	18743.260000000002	20242.720800000003	20992.451200000003	23429.075000000004
A1116	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1117	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1118	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1119	14060	15184.800000000001	15747.2	17575
A1120	14650	15822.000000000002	16408	18312.5
A1121	12320.86333686803	13306.532403817473	13799.366937292194	15401.079171085037
A1122	29968.24	32365.699200000003	33564.4288	37460.3
A1123	20150	21762	22568.000000000004	25187.5
A1201	13037.070000000002	14080.035600000003	14601.518400000003	16296.337500000001
A1202	22400	24192	25088.000000000004	28000
A1203	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1205	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1206	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1207	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1208	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1209	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1210	14412.78	15565.802400000002	16142.313600000003	18015.975000000002
A1211	18400	19872	20608.000000000004	23000
A1212	15234.12	16452.8496	17062.2144	19042.65
A1213	16055.460000000001	17339.896800000002	17982.115200000004	20069.325
A1215	18793.260000000002	20296.720800000003	21048.451200000003	23491.575000000004
A1216	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1217	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1218	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1219	14080	15206.400000000001	15769.600000000002	17600
A1220	14700	15876.000000000002	16464	18375
A1221	12370.86333686803	13360.532403817473	13855.366937292194	15463.579171085037
A1222	30018.24	32419.699200000003	33620.4288	37522.8
A1223	20200	21816	22624.000000000004	25250
A1501	13087.070000000002	14134.035600000003	14657.518400000003	16358.837500000001
A1502	22500	24300	25200.000000000004	28125
A1503	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1505	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1506	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1507	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1508	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1509	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1510	14462.78	15619.802400000002	16198.313600000003	18078.475000000002
A1511	18500	19980	20720.000000000004	23125
A1512	15284.12	16506.8496	17118.2144	19105.15
A1513	16105.460000000001	17393.896800000002	18038.115200000004	20131.825
A1515	18843.260000000002	20350.720800000003	21104.451200000003	23554.075000000004
A1516	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1517	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1518	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1519	14100	15228.000000000002	15792.000000000002	17625
A1520	14750	15930.000000000002	16520	18437.5
A1521	12420.86333686803	13414.532403817473	13911.366937292194	15526.079171085037
A1522	30068.24	32473.699200000003	33676.4288	37585.3
A1523	20250	21870	22680.000000000004	25312.5
A1601	13137.070000000002	14188.035600000003	14713.518400000003	16421.3375
A1602	22600	24408	25312.000000000004	28250
A1603	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1605	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1606	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1607	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1608	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1609	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1610	14512.78	15673.802400000002	16254.313600000003	18140.975000000002
A1611	18600	20088	20832.000000000004	23250
A1612	15334.12	16560.8496	17174.2144	19167.65
A1613	15655.460000000001	16907.896800000002	17534.115200000004	19569.325
A1615	18893.260000000002	20404.720800000003	21160.451200000003	23616.575000000004
A1616	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1617	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1618	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1619	14120	15249.6	15814.400000000001	17650
A1620	14800	15984.000000000002	16576	18500
A1621	12470.86333686803	13468.532403817473	13967.366937292194	15588.579171085037
A1622	30118.24	32527.699200000003	33732.4288	37647.8
A1623	20300	21924	22736.000000000004	25375
A1701	13187.070000000002	14242.035600000003	14769.518400000003	16483.8375
A1702	22700	24516	25424.000000000004	28375
A1703	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1705	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1706	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1707	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1708	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1709	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1710	14562.78	15727.802400000002	16310.313600000003	18203.475000000002
A1711	18700	20196	20944.000000000004	23375
A1712	15384.12	16614.8496	17230.2144	19230.15
A1713	15705.460000000001	16961.896800000002	17590.115200000004	19631.825
A1715	18943.260000000002	20458.720800000003	21216.451200000003	23679.075000000004
A1716	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1717	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1718	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1719	14140	15271.2	15836.800000000001	17675
A1720	14850	16038.000000000002	16632	18562.5
A1721	12520.86333686803	13522.532403817473	14023.366937292194	15651.079171085037
A1722	30168.24	32581.699200000003	33788.4288	37710.3
A1723	20350	21978	22792.000000000004	25437.5
A1801	13237.070000000002	14296.035600000003	14825.518400000003	16546.3375
A1802	22800	24624	25536.000000000004	28500
A1803	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1805	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1806	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1807	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1808	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1809	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1810	14612.78	15781.802400000002	16366.313600000003	18265.975000000002
A1811	18800	20304	21056.000000000004	23500
A1812	15434.12	16668.8496	17286.2144	19292.65
A1813	15755.460000000001	17015.896800000002	17646.115200000004	19694.325
