公寓	房间号	批次号	操作人	水费(元)	状态	电费(元)	能量(元)	计费开始日期	计费结束日期
驻在星耀	"A1203,A309,A..."	20250713200455700	admin	94.5	全部上传PMS	152.94	200.9	2025-06-22	2025-06-30
驻在星耀	"A1008,A312,A..."	20250713200232900	admin	224.4	全部上传PMS	548.03	1053.5	2025-06-16	2025-06-30
驻在星耀	"A505,A513,A5..."	20250713200039902	admin	196.2	全部上传PMS	523.08	670.6	2025-06-14	2025-06-30
驻在星耀	A1207	20250713195917997	admin	67.5	全部上传PMS	139.2	95.2	2025-06-06	2025-06-30
驻在833	013216	20250713183848899	admin	7.89	全部上传PMS	189.32	0	2025-07-01	2025-07-13
驻在833	013216	20250713183838186	admin	15.78	全部上传PMS	367.51	0	2025-06-01	2025-06-30
驻在星耀	B901	20250713140749061	admin	26.7	全部上传PMS	51.73	141.4	2025-07-01	2025-07-12
驻在833	013107	20250712131436925	admin	39.45	全部上传PMS	389.36	0	2025-06-01	2025-06-30
驻在833	013107	20250712131423146	admin	39.45	全部上传PMS	302.98	0	2025-07-01	2025-07-12
驻在833	013216	20250712130326056	admin	15.78	数据获取成功	367.51	0	2025-06-01	2025-06-30
驻在833	013216	20250712130314677	admin	7.89	数据获取成功	185.41	0	2025-07-01	2025-07-12
驻在833	012517	20250712124142995	admin	31.56	全部上传PMS	203.92	0	2025-06-01	2025-06-30
驻在833	012517	20250712124130971	admin	7.89	全部上传PMS	68.5	0	2025-07-01	2025-07-12
驻在833	012109	20250712090628180	admin	7.89	全部上传PMS	102.31	0	2025-07-01	2025-07-12
驻在833	012109	20250712090618490	admin	15.78	全部上传PMS	484.11	0	2025-06-01	2025-06-30
驻在星耀	A603	20250711131254056	admin	58.2	数据获取成功	166.44	203.7	2025-06-01	2025-06-30
驻在星耀	B502	20250711122625327	admin	84	数据获取成功	105.62	1.4	2025-06-01	2025-06-30
驻在星耀	"A1006,A1102,..."	20250711115255887	admin	7884.6	全部上传PMS	16699.55	20815.9	2025-06-01	2025-06-30
驻在833	013112	20250711081600459	admin	7.89	全部上传PMS	242.25	0	2025-07-01	2025-07-11
驻在833	013112	20250711081547054	admin	0	全部上传PMS	136.47	0	2025-06-01	2025-06-30
