分类	通知标题	子标题	地址URL	状态	备注	创建时间	创建人	更新时间
用户协议	驻客须知			有效		2023-09-12 08:41:08	admin	2024-08-27 08:30:45
个人信息收集清单	个人信息收集清单			有效		2023-09-12 08:47:37	admin	2024-08-27 07:30:01
关于我们	关于我们	"驻在LIV'N,驻进生活里"	https://www.greystar.cn/zh-cn/privacy	有效	"驻在LIV'N,驻进生活里"	2023-09-12 08:49:30	admin	2025-04-22 20:47:02
小程序图片集	联系管家			有效		2024-08-13 09:52:27	admin	2024-10-29 14:38:16
小程序图片集	联系管家			有效		2024-10-29 13:40:31	admin	2024-10-29 14:38:25
公区免责条款	免责条款			有效		2025-07-11 15:05:02	admin	2025-07-11 15:05:02
隐私政策	隐私横测			有效		2025-07-12 11:16:52	admin	2025-07-12 11:16:52
驻在新鲜事	驻在 LIV’N 833 夏日特惠来袭！50m²轻奢单间限时降价，邂逅理想栖居			有效		2025-07-02 09:36:34	admin	2025-07-14 04:00:32
驻在新鲜事	被宠物治愈的下午！驻在星耀 LIV’N The Spark 夏日「人宠派对」，快乐回顾！			有效		2025-07-02 09:36:20	admin	2025-07-14 04:00:32
驻在新鲜事	周三别宅了！驻在星耀LIV'N The Spark鸡尾酒派对，下班直接冲！			有效		2025-07-01 22:24:04	admin	2025-07-14 04:00:32
驻在新鲜事	驻在LIV'N833 单间公寓视频			有效		2025-07-01 16:22:57	admin	2025-07-14 04:00:32
驻在新鲜事	驻在LIV’N社区｜六一遛娃地图，公寓周边“四大童心剧场”已就位			有效		2025-05-28 09:57:30	admin	2025-07-14 04:00:32
驻在新鲜事	驻在LIV'N社区 | 五一劳动节，致敬不负韶华的你！			有效		2025-05-13 11:10:43	admin	2025-07-14 04:00:32
