入住月数(止)	入住月数(起)	户型类别	押金	操作	更新人	租金上浮比例
999	12	一房式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0
999	12	两房式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0
999	12	三房式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0
999	12	单间式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0
11.99	5.01	单间式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0.08
11.99	5.01	三房式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0.08
11.99	5.01	两房式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0.08
11.99	5.01	一房式公寓	2.00个月租金	☐ ✏️ 🗑️	admin	0.08
5	1.01	两房式公寓	1.00个月租金	☐ ✏️ 🗑️	admin	0.12
5	1.01	一房式公寓	1.00个月租金	☐ ✏️ 🗑️	admin	0.12
5	1.01	三房式公寓	1.00个月租金	☐ ✏️ 🗑️	admin	0.12
5	1.01	单间式公寓	1.00个月租金	☐ ✏️ 🗑️	admin	0.12
1	1	单间式公寓	10000.00元	☐ ✏️ 🗑️	admin	0.25
1	1	一房式公寓	10000.00元	☐ ✏️ 🗑️	admin	0.25
1	1	两房式公寓	10000.00元	☐ ✏️ 🗑️	admin	0.25
1	1	三房式公寓	10000.00元	☐ ✏️ 🗑️	admin	0.25
