公寓	月份	使用智能门锁人数	使用智能家居人数	活动通知阅读人数	小程序下工单人数	小程序开票人数	小程序付款人数	小程序预约带看人数	小程序订房人数
驻在星耀	2025-01	0	0	0	1	0	0	1	0
驻在星耀	2025-02	0	0	0	0	1	0	0	0
驻在星耀	2025-03	0	0	0	0	0	0	1	0
驻在星耀	2025-04	0	0	18	2	1	0	0	0
驻在星耀	2025-05	0	0	0	13	3	54	1	1
驻在星耀	2025-06	73	96	0	12	7	71	1	0
驻在星耀	2025-07	60	92	0	3	0	7	0	0
驻在833	2025-01	0	0	0	6	0	0	0	0
驻在833	2025-02	0	0	0	6	0	0	1	0
驻在833	2025-03	0	0	0	6	0	0	0	0
驻在833	2025-04	0	0	91	17	4	44	0	0
驻在833	2025-05	0	0	0	22	7	138	0	0
驻在833	2025-06	2	2	0	14	4	111	0	0
驻在833	2025-07	0	0	0	5	0	4	0	0
