序号,类别-单位万元,单位及备注-例科目范围、口径、数量、单价,筹开期（按项目情况改动）_开业前6个月,筹开期（按项目情况改动）_开业前5个月,筹开期（按项目情况改动）_开业前4个月,筹开期（按项目情况改动）_开业前3个月,筹开期（按项目情况改动）_开业前2个月,筹开期（按项目情况改动）_开业前1个月,开业首年（按实际开业时间填写）_1月(10月）,开业首年（按实际开业时间填写）_2月（11月）,开业首年（按实际开业时间填写）_3月（12月）,开业首年（按实际开业时间填写）_4月（1月）,开业首年（按实际开业时间填写）_5月（2月）,开业首年（按实际开业时间填写）_6月（3月）,开业首年（按实际开业时间填写）_7月（4月）,开业首年（按实际开业时间填写）_8月（5月）,开业首年（按实际开业时间填写）_9月（6月）,开业首年（按实际开业时间填写）_10月（7月）,开业首年（按实际开业时间填写）_11月(8月）,开业首年（按实际开业时间填写）_12月（9月）,开业第一年,开业第二年,开业第三年,开业第四年,开业第五年,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
公寓,项目房间总间数,,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,894,,,,
,长租间数,,,,,,,,70,130,180,220,260,340,421,501,581,662,742,822,411,822,822,822,822,541,877,932,987
,日租间数,,,,,,,,,,,,,,,,,,,,,,,,,,119%,126%,133%
,间天出租率-长租,,,,,,,,8%,15%,20%,25%,29%,38%,47%,56%,65%,74%,83%,92%,46%,92%,92%,92%,92%,,,,
,间天出租率-日租（如无不填写）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,均价涨幅,,,,,,,,,,,,,,,,,,,,,,2%,2%,2%,,,,
,含管理费均价-长租,,,,,,,,5227,5227,5227,5227,5227,5177,5177,5177,5177,4761,4761,4761,5074,5285,5391,5498,5608,,,,
,含管理费均价-日租（如无不填写）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,项目整体出租率,,,,,,,,8%,15%,20%,25%,29%,38%,47%,56%,65%,74%,83%,92%,46%,92%,92%,92%,92%,,,,
,项目整体均价,,,,,,,,5227,5227,5227,5227,5227,5177,5177,5177,5177,4761,4761,4761,5074,5285,5391,5498,5608,,,,
商业,商业面积,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,含物业费均价,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,均价涨幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,平均出租率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车位,车位数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,含物业费均价,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,均价涨幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,平均出租率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
办公,办公面积,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,含物业费均价,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,均价涨幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,平均出租率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,经营收入(含税),,,,,,,,"365,880","679,491","940,833","1,149,907","1,358,981","1,761,847","2,177,801","2,593,756","3,009,710","3,150,795","3,533,374","3,915,953","24,638,327","52,160,929","53,204,148","54,268,231","55,353,596",,,,
1.1,公寓租金收入,,,,,,,,"365,880","679,491","940,833","1,149,907","1,358,981","1,761,847","2,177,801","2,593,756","3,009,710","3,150,795","3,533,374","3,915,953","24,638,327","52,160,929","53,204,148","54,268,231","55,353,596",,,,
1.2,商业收入,,,,,,,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,
1.3,车位收入,,,,,,,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,
1.4,办公收入,,,,,,,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,
1.5,增值收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,违约金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,筹开费,,"50,000","118,254","134,954","119,560","316,600","1,536,277",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,275,645",,,
2.1,筹开期人工成本,开业前5个月项目总到位，前三个管家，工程到位，前两个月全部到位,–,"31,254","34,954","69,560","129,720","129,720",,,,,,,,,,,,,,,,,,,,,
